"species","5A","5B","5C","10A","10B","10C","20A","20B","20C","25A","25B","25C","27A","27B","27C","31A","31B","31C","44A","44B","44C","46A","46B","46C","55A","55B","55C","66A","66B","66C","sd5C","sd20C","sd27C","sd55C"
"Globorotalia_scitula",0,0,0,0,0,0,0,0.0575079872204473,0.001821853,0.00754716981132075,0,0.017045455,0.00265957446808511,0,0.00639304775,0,0,0,0.0163934426229508,0.0206185567010309,0.007936508,0,0,0.002181025,0,0,0.000666000666666667,0,0,0,0,0.0028540241015616,0.00560323847753507,0.00115354699254141
"Globorotalia_ungulata",0,0,NA,0,0,NA,0.010752688172043,0,0,0.00754716981132075,0,NA,0.00531914893617021,0,NA,0,0,0,0.0131147540983607,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA
"Globorotaloides_hexagonus",0,0,0,0,0,0,0,0.00319488817891374,0.000185185166666667,0,0,0,0.00265957446808511,0,0.00081967225,0,0,0.003018109,0,0.0515463917525773,0.034391534,0,0,0.001090513,0,0,0,0,0,0,0,0.000785674122750966,0.0016393445,0
"Neogloboquadrina_dutertrei",0,0,0.0029411765,0,0,0,0.121863799283154,0.073482428115016,0.142048817166667,0.00377358490566038,0.0115606936416185,0.001893939,0.0292553191489362,0.0409356725146199,0.02481290075,0.0133333333333333,0.0722433460076046,0.001006036,0.0688524590163934,0.11340206185567,0.079365079,0.027190332326284,0.0787878787878788,0.047437296,0.0269230769230769,0,0.0281301153333333,0,0,0,0.00415945169563303,0.0701654281892023,0.00644940619287163,0.0253288356345575
"Neogloboquadrina_incompta",0.0251572327044025,0,0.0298169265,0.214689265536723,0,0.007772021,0.014336917562724,0,0.0121943943333333,0.00377358490566038,0,0,0,0,0.00204359675,0,0,0,0.108196721311475,0,0.002645503,0.0302114803625378,0,0.002726281,0.126923076923077,0,0.0303414456666667,0,0,0.004,0.00473243729099124,0.0109401200719403,0.0040871935,0.0156396381298285
"Neogloboquadrina_pachyderma",0.059748427672956,0,0.086104442,0.096045197740113,0,0.422279793,0,0,0,0,0,0,0,0.0116959064327485,0.000681199,0,0,0,0,0.0309278350515464,0,0,0,0.000545256,0,0,0,1,1,0.993,0.027970189971608,0,0.001362398,0
"Globigerinella_siphonifera",0,0,0,0,0,0,0.017921146953405,0.0319488817891374,0.0345895822222222,0.0150943396226415,0.0317919075144509,0.053030303,0.0771276595744681,0.0584795321637427,0.04017444725,0.0333333333333333,0.0760456273764259,0.04527163,0.0524590163934426,0.0567010309278351,0.047619048,0.0422960725075529,0.0484848484848485,0.059432933,0.00769230769230769,0,0.0280681543333333,0,0,0,0,0.0165222450386835,0.0133024848410017,0.000932597772820808
"Globigerinella_calida",0.00314465408805031,0,0,0.00564971751412429,0,0,0.021505376344086,0.0575079872204473,0.00202256072222222,0.030188679245283,0.0173410404624277,0.028409091,0.0292553191489362,0.0409356725146199,0.01752194175,0.05,0,0.047283702,0,0.0154639175257732,0.013227513,0.0362537764350453,0,0.02780807,0.0115384615384615,0,0.00576138233333333,0,0,0,0,0.00562775959001374,0.00655592287172332,0.00354442162281046
"Globigerinoides_ruber",0,0,0,0.0169491525423729,0,0,0.261648745519713,0.073482428115016,0.204692700833333,0.358490566037736,0.280346820809249,0.414772728,0.521276595744681,0.0818713450292398,0.50297832025,0.436666666666667,0.114068441064639,0.382293763,0.173770491803279,0.0567010309278351,0.240740741,0.347432024169184,0.0666666666666667,0.285714286,0.261538461538462,0,0.234196213,0,0,0,0,0.0503338070003476,0.0529987327551703,0.0673806441347026
"Globigerinoides_conglobatus",0,0,0,0,0,0,0.003584229390681,0.0287539936102236,0.0124850824444444,0.0113207547169811,0.202312138728324,0.007575758,0.0319148936170213,0.0526315789473684,0.0273574955,0.0266666666666667,0.0684410646387833,0.050301811,0.019672131147541,0.0412371134020619,0.034391534,0.00604229607250755,0.0848484848484849,0.014176663,0.00769230769230769,0,0.0213178013333333,0,0,0,0,0.0104942228297256,0.0200408969421166,0.00309503259683276
"Globigerinoides_sacculifer",0,0,0,0,0,0,0.0609318996415771,0.108626198083067,0.0497228678888889,0.113207547169811,0.0549132947976879,0.053030303,0.138297872340426,0.0526315789473684,0.11082759225,0.106666666666667,0.11787072243346,0.113682093,0.0426229508196721,0.108247422680412,0.158730159,0.0845921450151057,0.139393939393939,0.106870229,0.176923076923077,0,0.163651559333333,0,0,0,0,0.0127376301823729,0.0119288709223074,0.00766597866991093
"Orbulina_universa",0,0,0.006962785,0.00564971751412429,0,0,0.003584229390681,0,0.00279337511111111,0.0226415094339623,0.0144508670520231,0.03219697,0.00797872340425532,0,0.01437020575,0.0133333333333333,0,0.024144869,0,0.0103092783505155,0.002645503,0,0,0.001090513,0.00384615384615385,0,0.0149857796666667,0,0,0,0.00263148940090436,0.00272665732786271,0.01476163231944,0.01125469073471
"Pulleniatina_obliquiloculata",0,0,0,0,0,0,0.00716845878136201,0.0415335463258786,0.0112573472222222,0.0113207547169811,0.0115606936416185,0,0.0186170212765957,0.0584795321637427,0.01559712925,0,0.0380228136882129,0,0.0524590163934426,0.0721649484536082,0.031746032,0.0664652567975831,0.109090909090909,0.122137405,0.0192307692307692,0,0.00642236766666667,0,0,0,0,0.00408654957702552,0.0182229675081303,0.000506932037717418
"Globoquadrina_conglomerata",0,0,0,0,0,0,0.00716845878136201,0,0,0,0,0,0.00265957446808511,0,0,0,0,0,0,0.0670103092783505,0.047619048,0.00302114803625378,0.0181818181818182,0.0087241,0,0,0,0,0,0,0,0,0,0
"Globigerinita_glutinata",0.0157232704402516,0,0.0164765905,0.0282485875706215,0,0.020725389,0.186379928315412,0.0862619808306709,0.144521647777778,0.0679245283018868,0.0433526011560694,0.128787879,0.0638297872340425,0.0935672514619883,0.1032129695,0.21,0.133079847908745,0.193158954,0.252459016393443,0.0927835051546392,0.066137566,0.196374622356495,0.133333333333333,0.171755725,0.00769230769230769,0,0.0403422506666667,0,0,0,0.00165529242703049,0.0347495763684248,0.0276177420607497,0.0098841365471413
"Candeina_nitida",0,0,0,0,0,0,0,0,0,0,0.023121387283237,0,0.00265957446808511,0.0175438596491228,0.00208179775,0,0.0190114068441065,0,0,0.00515463917525773,0,0,0,0.002181025,0,0,0,0,0,0,0,0,0.00139101632236395,0
"Beella_digitata",0,0,0,0,0,0,0,0.00319488817891374,0.000740740722222222,0,0.0115606936416185,0.020833333,0.00531914893617021,0.0175438596491228,0.00811430075,0.00333333333333333,0.00380228136882129,0.001006036,0,0.0103092783505155,0.002645503,0,0,0.001090513,0,0,0.00166500166666667,0,0,0,0,0.00314269672670613,0.00605615467063655,0.00288386748135353
"Turborotalita_quinqueloba",0,0,0.005882353,0.0112994350282486,0,0,0,0,0,0,0,0,0,0,0.00145348825,0,0,0.043259557,0,0,0,0,0,0,0,0,0,0,0,0.003,0.00831890339126606,0,0.0029069765,0
"Turborotalita_humilis",0,0,0,0,0,0,0,0,0.000888964277777778,0,0.0289017341040462,0,0,0.0175438596491228,0,0,0,0.002012072,0.00327868852459016,0,0,0,0.0121212121212121,0,0.0115384615384615,0.153846153846154,0.00204568266666667,0,0,0,0,0.00310886621834618,0,0.00177251310801961
"Sphaeroidinella_dehiscens",0,0,0,0,0,0,0,0.0383386581469649,0,0,0.0173410404624277,0,0.00265957446808511,0.0526315789473684,0.00280854175,0,0.00380228136882129,0,0.00327868852459016,0.0515463917525773,0.007936508,0,0.00606060606060606,0.002181025,0.00769230769230769,0,0.00708836833333333,0,0,0,0,0,0.0023762865902199,0.00165160203564428
"Hastigerina_pelagica",0,0,0,0,0,0,0,0,0,0,0.0260115606936416,NA,0,0.0292397660818713,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0
"Berggrenia_pumilio",0,0,0,0,0,0,0,0,0,0,0.00867052023121387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Globorotalia_theyeri",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"unidentified",0,0,0.0025510205,0,0,0,0,0.0351437699680511,0.00818852494444444,0,0,0.011363636,0,0.0701754385964912,0.0090190495,0,0.0950570342205323,0,0,0.00515463917525773,0.010582011,0,0.0909090909090909,0.007088332,0,0,0.00617469866666667,0,0,0,0.00360768778899179,0.0130193629531987,0.0102484272856919,0.00625136072166735
"total_counts",318,12,366,177,87,386,279,313,300,265,346,528,376,171,346.75,300,263,500,305,194,378,331,165,1834,260,65,364.666666666667,226,78,534,NA,NA,NA,NA
